letter,YEAR,height,site,sqrtszt,sqrtszt1
H,04-05,1,2,1.70315882,1.618949949
H,04-05,2,2,1.947260615,2.484536589
H,04-05,3,2,0.875887047,0.900863914
H,04-05,4,2,3.564019826,3.51919213
H,04-05,5,2,3.306040238,3.765666471
H,04-05,6,2,1.56922516,0.979162715
H,04-05,7,2,2.53415838,2.723447087
H,04-05,8,2,1.781534546,2.168898783
H,04-05,9,2,3.151330998,3.251258774
H,04-05,10,2,0.889773048,0.825342545
I,04-05,1,2,2.752616556,2.886484193
I,04-05,2,2,1.024788016,1.340169907
I,04-05,3,2,2.411703229,2.326604418
I,04-05,4,2,2.762728601,3.524350225
I,04-05,5,2,2.971180329,0.869686525
I,04-05,7,2,0.770823246,1.081335857
I,04-05,8,2,1.550258433,1.980978592
I,04-05,9,2,3.584118704,4.030792252
I,04-05,10,2,1.156723058,1.025542148
J,04-05,1,2,1.05501366,0.972759845
J,04-05,2,2,0.998599532,0.980762524
J,04-05,3,2,1.286558009,1.409260864
J,04-05,4,2,1.005988851,1.354820251
J,04-05,5,2,1.849531409,2.123009441
J,04-05,6,2,0.501406934,0.680022795
J,04-05,7,2,1.767602277,1.917457288
J,04-05,8,2,0.809743477,0.8993572
J,04-05,9,2,2.021636669,2.440038366
J,04-05,10,2,1.036499609,1.254764405
K,04-05,1,3,0.89863129,1.215164944
K,04-05,2,3,3.929110502,3.839487126
K,04-05,3,3,1.419447346,1.531241301
K,04-05,4,3,0.960910631,1.276250523
K,04-05,5,3,2.301938452,2.511838795
K,04-05,6,3,1.052570658,1.127038356
K,04-05,7,3,4.387692532,5.268772665
K,04-05,8,3,1.220191881,1.50449574
K,04-05,9,3,1.252207431,1.541273824
K,04-05,10,3,0.73794317,0.864840487
L,04-05,1,3,4.228421712,4.517091275
L,04-05,2,3,7.651405076,7.659014211
L,04-05,3,3,4.202260578,4.687984918
L,04-05,4,3,5.91180572,6.116509972
L,04-05,5,3,1.019434211,1.147890225
L,04-05,6,3,2.519659276,2.65744182
L,04-05,7,3,2.33870153,2.412429491
L,04-05,8,3,4.927169301,5.840758856
L,04-05,9,3,2.110991659,2.343076832
L,04-05,10,3,2.746002433,2.791166146
M,04-05,1,3,2.139251844,2.501410347
M,04-05,2,3,1.15774386,1.372894201
M,04-05,3,3,0.41222154,0.511862289
M,04-05,4,3,1.667704774,1.418411304
M,04-05,5,3,0.663986172,0.671168702
M,04-05,6,3,2.368273463,3.04791426
M,04-05,7,3,2.39690755,2.628427527
M,04-05,8,3,2.650064828,3.216197629
M,04-05,9,3,1.739788664,2.028078428
M,04-05,10,3,3.527498998,4.168125305
N,04-05,1,3,2.446463647,2.128540489
N,04-05,2,3,2.557572328,2.5631286
N,04-05,3,3,1.565660207,1.71063723
N,04-05,4,3,2.977601781,2.677238729
N,04-05,5,3,2.800183694,3.126786929
N,04-05,6,3,1.678588689,1.677463264
N,04-05,7,3,1.223821857,1.399471713
N,04-05,8,3,1.178807355,1.278817139
N,04-05,9,3,3.032428957,3.158027017
N,04-05,10,3,1.145948069,1.203178076
O,04-05,1,3,2.272980719,2.165860657
O,04-05,2,3,1.742600822,1.955173798
O,04-05,3,3,0.802444371,0.933523011
O,04-05,4,3,3.335415865,3.082448307
O,04-05,5,3,1.573649453,1.262476439
O,04-05,6,3,1.477148812,1.421954968
O,04-05,7,3,2.592021505,1.897871213
O,04-05,8,3,4.521324743,4.530533728
O,04-05,9,3,2.833931668,3.146132567
O,04-05,10,3,2.012842096,1.980126779
P,04-05,1,4,1.214759332,2.030477655
P,04-05,2,4,4.565794797,3.509940944
P,04-05,3,4,2.9017046,3.807691012
P,04-05,4,4,3.414127686,3.242962801
P,04-05,5,4,4.819597029,4.783594067
P,04-05,6,4,3.419585061,3.935170554
P,04-05,7,4,0.844613495,1.079185802
P,04-05,8,4,4.47515478,5.26801906
P,04-05,9,4,3.99718149,4.585265492
P,04-05,10,4,3.172151603,3.54601734
Q,04-05,1,4,0.74149767,0
Q,04-05,2,4,2.558492044,3.081010269
Q,04-05,3,4,1.958833758,2.483430807
Q,04-05,4,4,1.089711106,1.514616746
Q,04-05,5,4,5.462113821,6.431059977
Q,04-05,6,4,2.782665642,3.417591953
Q,04-05,7,4,0.660711054,0.753777912
Q,04-05,8,4,1.87990849,2.28381635
Q,04-05,9,4,1.765330672,2.30515471
Q,04-05,10,4,1.684369105,1.963738859
R,04-05,1,4,0.811055772,0.736653359
R,04-05,2,4,4.275294302,3.844081291
R,04-05,3,4,1.032007249,1.257008427
R,04-05,4,4,1.275801586,1.303757343
R,04-05,5,4,2.278757445,2.701823028
R,04-05,6,4,5.064457034,7.667760446
R,04-05,7,4,4.900396137,6.335837624
R,04-05,8,4,0.812143267,1.285525779
R,04-05,9,4,2.180411953,3.011640195
R,04-05,10,4,1.009023907,1.560045226
S,04-05,1,4,3.652392404,4.135225556
S,04-05,2,4,2.612926548,3.228547699
S,04-05,3,4,1.791408398,2.301046769
S,04-05,4,4,0.849788264,1.27614576
S,04-05,5,4,2.214762444,2.847644153
S,04-05,6,4,3.455666556,3.215816244
S,04-05,7,4,0.919177451,1.138255903
S,04-05,8,4,1.873521093,2.002858916
S,04-05,9,4,3.754165931,4.155020046
S,04-05,10,4,2.501288927,2.922838414
T,04-05,1,4,2.876246078,3.275696346
T,04-05,2,4,1.868347623,2.019373948
T,04-05,3,4,2.893122612,3.750203742
T,04-05,4,4,5.356304029,6.017817002
T,04-05,5,4,7.196387741,7.507523305
T,04-05,6,4,2.736622296,3.353202373
T,04-05,7,4,2.857033462,3.071396504
T,04-05,8,4,2.204528585,2.60479964
T,04-05,9,4,2.797448691,3.126047478
T,04-05,10,4,3.248022499,3.754623736
A,05-06,1,1,3.777737881,2.866576573
A,05-06,2,1,2.783050866,2.56907654
A,05-06,3,1,1.811915037,1.888323622
A,05-06,4,1,5.859013836,4.948749723
A,05-06,5,1,2.695103894,2.62039818
A,05-06,6,1,3.363604784,2.127049108
A,05-06,7,1,1.699809646,1.668127246
A,05-06,8,1,3.882675889,3.577607647
A,05-06,9,1,0.927848301,0.770658568
A,05-06,10,1,1.140280689,1.067052431
AA,05-06,1,6,3.581030261,2.657925457
AA,05-06,2,6,0.456419618,0.702024371
AA,05-06,3,6,2.651283485,2.678518513
AA,05-06,4,6,0.508530698,0.666211743
AA,05-06,5,6,1.339183266,1.459068957
AA,05-06,6,6,0.825572214,0.976783624
AA,05-06,7,6,1.707530279,2.098503848
AA,05-06,8,6,1.877895152,1.979986521
AA,05-06,9,6,1.06908531,1.135290925
AA,05-06,10,6,2.385861213,2.800210884
B,05-06,1,1,1.440217142,1.579383077
B,05-06,2,1,2.860376301,2.825669412
B,05-06,3,1,5.056035994,4.308097795
B,05-06,4,1,2.256187021,2.035768602
B,05-06,5,1,1.822339463,1.655477909
B,05-06,6,1,3.148739159,3.023676511
B,05-06,7,1,2.700718006,2.437814147
B,05-06,8,1,3.071829509,2.723976734
B,05-06,9,1,3.560938255,3.603450186
B,05-06,10,1,3.225982563,2.559848478
BB,05-06,1,6,0.630996897,0.906801206
BB,05-06,2,6,2.230971549,2.371323842
BB,05-06,3,6,1.055022663,1.038813444
BB,05-06,4,6,3.015364397,2.840608625
BB,05-06,5,6,1.975902366,2.038715451
BB,05-06,6,6,2.525200432,2.478226152
BB,05-06,7,6,2.128079569,2.015244822
BB,05-06,8,6,1.404966307,1.511666039
BB,05-06,9,6,1.880655618,1.898164936
BB,05-06,10,6,1.74289383,1.692853036
C,05-06,1,1,2.377794294,1.984110807
C,05-06,2,1,3.249756486,2.600500171
C,05-06,3,1,1.731872472,1.629395608
C,05-06,4,1,3.415850781,2.911763746
C,05-06,5,1,1.966269439,1.864249576
C,05-06,6,1,1.4736254,1.465395609
C,05-06,7,1,1.769440623,1.879632687
C,05-06,8,1,1.198146694,1.270435641
C,05-06,9,1,2.907255595,3.067340248
C,05-06,10,1,3.126207511,3.239073742
CC,05-06,1,6,2.712212666,2.689515599
CC,05-06,2,6,0.815814538,0.755250124
CC,05-06,3,6,0.72546195,0.91843245
CC,05-06,4,6,4.495392431,4.912812583
CC,05-06,5,6,0.635638686,0.124236534
CC,05-06,6,6,2.658451296,2.67054883
CC,05-06,7,6,4.781262933,4.502887916
CC,05-06,8,6,1.040668859,1.402920655
CC,05-06,9,6,4.555967817,5.475520416
CC,05-06,10,6,1.714038629,2.022099923
D,05-06,1,1,2.040905354,1.835290773
D,05-06,2,1,4.204400675,3.456185199
D,05-06,4,1,2.630636195,2.649247278
D,05-06,6,1,1.469391731,1.608795143
D,05-06,7,1,2.012583012,2.077954532
D,05-06,8,1,0.80835554,0.886879102
D,05-06,9,1,0.883672366,0.986995787
D,05-06,10,1,2.829490537,2.947911137
DD,05-06,1,6,1.157249547,1.293597243
DD,05-06,2,6,1.331699902,1.180501816
DD,05-06,3,6,3.007467699,2.743307383
DD,05-06,4,6,1.55802306,1.621136171
DD,05-06,5,6,0.340097223,0.320799569
DD,05-06,6,6,3.250680796,3.293208179
DD,05-06,7,6,1.627602811,1.716003382
DD,05-06,8,6,0.637311931,0.696404085
DD,05-06,9,6,2.102560948,2.351354412
DD,05-06,10,6,2.104536396,2.461316205
E,05-06,1,1,1.824479282,1.045377563
E,05-06,2,1,1.418514467,1.189523514
E,05-06,3,1,1.379528007,1.073940772
E,05-06,4,1,1.835772476,1.745794678
E,05-06,5,1,1.367961882,1.457473972
E,05-06,6,1,3.830065412,3.657423052
E,05-06,7,1,4.676899601,4.312307629
E,05-06,8,1,2.285463718,2.62127591
E,05-06,9,1,1.455950362,1.822211356
E,05-06,10,1,2.805175405,3.217184431
EE,05-06,1,6,1.745687211,2.064826028
EE,05-06,2,6,3.424396998,2.892568661
EE,05-06,3,6,0.618016338,0.983479369
EE,05-06,4,6,1.553690814,1.605307975
EE,05-06,5,6,2.689255677,2.935100659
EE,05-06,6,6,0.878463869,1.020636023
EE,05-06,7,6,3.470199232,4.207705029
EE,05-06,8,6,2.593736148,2.562358411
EE,05-06,9,6,1.49502519,1.65285689
EE,05-06,10,6,1.132134925,1.21249901
FF,05-06,1,7,1.633602183,1.799409021
FF,05-06,2,7,1.37521143,1.752780009
FF,05-06,3,7,0.55820423,0.557566178
FF,05-06,4,7,1.524096798,1.797802214
FF,05-06,5,7,2.042497346,2.212998513
FF,05-06,6,7,1.532871017,2.035624349
FF,05-06,7,7,0.368072441,0.363184458
FF,05-06,8,7,1.391761878,1.590921944
FF,05-06,9,7,0.417641815,0.414427002
FF,05-06,10,7,0.490777586,0.522993708
G,05-06,9,2,0.688324197,0
G,05-06,10,2,2.991142442,0
GG,05-06,1,7,4.153901983,4.262473069
GG,05-06,2,7,1.728001356,1.931074507
GG,05-06,3,7,1.692036123,2.091787586
GG,05-06,4,7,0.391388595,0.520446264
GG,05-06,5,7,1.503425351,1.866129283
GG,05-06,6,7,1.421219339,1.606365846
GG,05-06,7,7,0.966712195,0.989289658
GG,05-06,8,7,1.036000154,1.226103782
GG,05-06,9,7,1.895248119,2.222959854
GG,05-06,10,7,1.051080527,1.292529877
H,05-06,1,2,1.618949949,1.385539237
H,05-06,2,2,2.484536589,1.309256213
H,05-06,3,2,0.900863914,0.842487309
H,05-06,4,2,3.51919213,0.944802691
H,05-06,5,2,3.765666471,1.606940804
H,05-06,6,2,0.979162715,0
H,05-06,7,2,2.723447087,2.475941604
H,05-06,8,2,2.168898783,1.79477409
H,05-06,9,2,3.251258774,2.503382854
H,05-06,10,2,0.825342545,0.960149349
HH,05-06,1,7,1.038583391,0
HH,05-06,2,7,0.775957457,0.975864749
HH,05-06,3,7,1.959319931,2.268999984
HH,05-06,4,7,2.751594295,2.878349699
HH,05-06,5,7,1.639876835,1.968636391
HH,05-06,6,7,1.810031442,2.198050101
HH,05-06,7,7,1.226484577,1.409434167
HH,05-06,8,7,2.285260707,2.35751791
HH,05-06,9,7,0.752537493,0.913544493
HH,05-06,10,7,1.199205597,1.428777065
I,05-06,1,2,2.886484193,2.317863913
I,05-06,2,2,1.340169907,1.055275758
I,05-06,3,2,2.326604418,0
I,05-06,4,2,3.524350225,2.402696178
I,05-06,5,2,0.869686525,0.720357166
I,05-06,6,2,3.464317319,2.81041416
I,05-06,7,2,1.081335857,1.044714108
I,05-06,8,2,1.980978592,1.888953199
I,05-06,9,2,4.030792252,3.284979481
I,05-06,10,2,1.025542148,0.464096005
II,05-06,1,7,0.53579653,0.602945375
II,05-06,2,7,0.412099367,0.407209916
II,05-06,3,7,1.25352484,1.130421062
II,05-06,4,7,1.880823774,1.958460092
II,05-06,5,7,0.944732074,1.1960692
II,05-06,6,7,2.685738231,2.799439147
II,05-06,7,7,0.589746147,0.667431641
II,05-06,8,7,2.554219243,2.577708678
II,05-06,9,7,0.886817288,0.975275899
II,05-06,10,7,0.868714928,1.051442931
J,05-06,1,2,0.972759845,0.973400329
J,05-06,2,2,0.980762524,1.314630871
J,05-06,4,2,1.354820251,1.389671581
J,05-06,5,2,2.123009441,2.069226426
J,05-06,6,2,0.680022795,0.292007318
J,05-06,7,2,1.917457288,1.751895271
J,05-06,8,2,0.8993572,0.854879158
J,05-06,9,2,2.440038366,2.284110985
J,05-06,10,2,1.254764405,1.166419073
JJ,05-06,1,7,1.340983729,1.315013779
JJ,05-06,2,7,1.160066416,1.147782317
JJ,05-06,3,7,5.434479346,4.89476184
JJ,05-06,4,7,0.86671392,0.896457092
JJ,05-06,5,7,3.950941313,3.879686053
JJ,05-06,6,7,1.050238929,1.260523304
JJ,05-06,7,7,1.279720482,1.447045557
JJ,05-06,8,7,0.490259703,0.617168963
JJ,05-06,9,7,0.535197696,0.650242942
JJ,05-06,10,7,2.123612973,2.422649533
K,05-06,1,3,1.215164944,1.464743106
K,05-06,2,3,3.839487126,3.894281277
K,05-06,3,3,1.531241301,1.929543852
K,05-06,4,3,1.276250523,1.335791857
K,05-06,5,3,2.511838795,2.888637243
K,05-06,6,3,1.127038356,1.501692087
K,05-06,7,3,5.268772665,5.376836386
K,05-06,8,3,1.50449574,1.842685182
K,05-06,9,3,1.541273824,1.512521081
K,05-06,10,3,0.864840487,0.439870543
KK,05-06,1,8,2.763288907,2.710882236
KK,05-06,2,8,2.096220066,2.144839987
KK,05-06,3,8,1.252415386,1.424599518
KK,05-06,4,8,1.580687903,1.712951244
KK,05-06,5,8,2.083331664,2.629474477
KK,05-06,6,8,3.646052567,3.409577702
KK,05-06,7,8,1.038630721,1.09731798
KK,05-06,8,8,0.660828401,0.889832366
KK,05-06,9,8,1.357208713,1.401318715
KK,05-06,10,8,4.151821952,4.860094095
L,05-06,1,3,4.517091275,0
L,05-06,2,3,7.659014211,4.531029339
L,05-06,3,3,4.687984918,3.563455149
L,05-06,4,3,6.116509972,6.048503481
L,05-06,5,3,1.147890225,1.209757308
L,05-06,6,3,2.65744182,2.057332573
L,05-06,7,3,2.412429491,0.797397235
L,05-06,8,3,5.840758856,5.934207408
L,05-06,9,3,2.343076832,2.679101767
L,05-06,10,3,2.791166146,0
LL,05-06,1,8,1.8086188,2.107657474
LL,05-06,2,8,1.63110336,1.909440699
LL,05-06,3,8,1.770704013,2.140379976
LL,05-06,4,8,3.210353406,3.571012656
LL,05-06,5,8,0.667913263,0.850045279
LL,05-06,6,8,1.110496638,1.446623029
LL,05-06,7,8,1.088124076,1.410599662
LL,05-06,8,8,2.361228204,2.974338764
LL,05-06,9,8,0.655950245,0.876713107
LL,05-06,10,8,0.965333361,1.049368941
M,05-06,1,3,2.501410347,2.25767959
M,05-06,2,3,1.372894201,1.652391675
M,05-06,3,3,0.511862289,0.778859924
M,05-06,4,3,1.418411304,1.277110821
M,05-06,5,3,0.671168702,0.701057025
M,05-06,6,3,3.04791426,3.09671896
M,05-06,7,3,2.628427527,2.949824191
M,05-06,8,3,3.216197629,3.630942616
M,05-06,9,3,2.028078428,2.31236084
M,05-06,10,3,4.168125305,4.404864424
MM,05-06,1,8,2.659465382,2.863955401
MM,05-06,2,8,2.106041182,2.315735484
MM,05-06,3,8,2.943623789,3.176901768
MM,05-06,4,8,1.111253726,1.368318201
MM,05-06,5,8,2.392593898,2.606836239
MM,05-06,6,8,0.308026182,0.374682575
MM,05-06,7,8,1.594436725,2.505521873
MM,05-06,8,8,1.072401108,0.592996997
MM,05-06,9,8,1.571728315,2.010262183
MM,05-06,10,8,0.715937761,0.872960722
N,05-06,1,3,2.128540489,2.0609719
N,05-06,2,3,2.5631286,1.449073555
N,05-06,3,3,1.71063723,1.685948078
N,05-06,4,3,2.677238729,2.022545096
N,05-06,5,3,3.126786929,3.153521723
N,05-06,6,3,1.677463264,1.795303111
N,05-06,7,3,1.399471713,1.912589991
N,05-06,8,3,1.278817139,1.223424697
N,05-06,9,3,3.158027017,3.339004686
N,05-06,10,3,1.203178076,1.268023972
NN,05-06,1,8,0.940120141,0.224404338
NN,05-06,2,8,2.36576986,2.230620267
NN,05-06,3,8,1.516808265,1.618992875
NN,05-06,4,8,1.50018224,1.884712362
NN,05-06,5,8,2.623362117,3.14861632
NN,05-06,6,8,1.374768034,1.426956722
NN,05-06,7,8,5.275690071,4.08814258
NN,05-06,8,8,1.650868226,1.948082264
NN,05-06,9,8,1.525325437,1.596245392
NN,05-06,10,8,2.23953574,2.433476473
O,05-06,1,3,2.165860657,2.196145415
O,05-06,2,3,1.955173798,1.763169738
O,05-06,3,3,0.933523011,1.113802779
O,05-06,4,3,3.082448307,3.327145626
O,05-06,5,3,1.262476439,0.8839787
O,05-06,7,3,1.897871213,2.891839874
O,05-06,8,3,4.530533728,4.684000428
O,05-06,9,3,3.146132567,3.155305623
O,05-06,10,3,1.980126779,2.2782093
OO,05-06,1,8,2.110793864,2.407577742
OO,05-06,2,8,0.907990811,1.008984239
OO,05-06,3,8,0.347159563,0.447805591
OO,05-06,4,8,1.989377063,2.061882543
OO,05-06,5,8,2.324505188,2.724315868
OO,05-06,6,8,2.582015721,2.658952136
OO,05-06,7,8,4.886768845,4.540921049
OO,05-06,8,8,3.278804346,3.33349504
OO,05-06,9,8,1.516011944,1.611026265
OO,05-06,10,8,2.369612501,2.517350904
P,05-06,1,4,2.030477655,0
P,05-06,2,4,3.509940944,0.543001351
P,05-06,3,4,3.807691012,3.798378333
P,05-06,4,4,3.242962801,2.139890502
P,05-06,5,4,4.783594067,2.717907473
P,05-06,6,4,3.935170554,1.510496315
P,05-06,7,4,1.079185802,1.053483149
P,05-06,8,4,5.26801906,5.443246099
P,05-06,10,4,3.54601734,3.486856187
Q,05-06,2,4,3.081010269,2.871509427
Q,05-06,3,4,2.483430807,2.624059538
Q,05-06,4,4,1.514616746,1.610947713
Q,05-06,5,4,6.431059977,6.645043349
Q,05-06,6,4,3.417591953,3.505454606
Q,05-06,7,4,0.753777912,0.959932395
Q,05-06,8,4,2.28381635,2.573158207
Q,05-06,9,4,2.30515471,2.49698403
Q,05-06,10,4,1.963738859,2.168041632
R,05-06,1,4,0.736653359,0
R,05-06,2,4,3.844081291,3.209155509
R,05-06,3,4,1.257008427,1.484539054
R,05-06,4,4,1.303757343,1.68871974
R,05-06,5,4,2.701823028,2.684104102
R,05-06,6,4,7.667760446,6.590946105
R,05-06,7,4,6.335837624,5.966203828
R,05-06,8,4,1.285525779,1.341080767
R,05-06,9,4,3.011640195,2.731534423
R,05-06,10,4,1.560045226,1.351099693
S,05-06,1,4,4.135225556,3.885126559
S,05-06,2,4,3.228547699,2.817725783
S,05-06,3,4,2.301046769,1.995915183
S,05-06,4,4,1.27614576,1.287076047
S,05-06,5,4,2.847644153,2.835278155
S,05-06,6,4,3.215816244,1.251259427
S,05-06,7,4,1.138255903,1.16199872
S,05-06,8,4,2.002858916,2.095484051
S,05-06,9,4,4.155020046,3.534326212
S,05-06,10,4,2.922838414,3.064808699
T,05-06,1,4,3.275696346,2.836587276
T,05-06,2,4,2.019373948,1.704127839
T,05-06,3,4,3.750203742,3.466424916
T,05-06,4,4,6.017817002,5.881547979
T,05-06,5,4,7.507523305,5.191526078
T,05-06,6,4,3.353202373,3.416403893
T,05-06,7,4,3.071396504,2.801234463
T,05-06,8,4,2.60479964,2.130256018
T,05-06,9,4,3.126047478,2.5659553
T,05-06,10,4,3.754623736,3.011352241
U,05-06,1,5,2.080822414,2.226262333
U,05-06,2,5,0.769140925,1.56251383
U,05-06,3,5,1.70052779,1.531665708
U,05-06,4,5,3.518009087,3.866628848
U,05-06,5,5,0.595721655,0.494071266
U,05-06,6,5,3.249260299,3.594615868
U,05-06,7,5,2.403178215,2.768368728
U,05-06,8,5,0.338334475,0.371003118
U,05-06,9,5,0.414439039,0.644027394
U,05-06,10,5,2.374350628,2.374218497
V,05-06,1,5,1.872640844,1.502451579
V,05-06,2,5,1.452614908,1.622564174
V,05-06,3,5,3.264629407,2.015345176
V,05-06,4,5,2.355052838,3.417731547
V,05-06,5,5,1.650285402,1.512064116
V,05-06,6,5,2.123959732,2.066672868
V,05-06,7,5,1.035606818,1.065480034
V,05-06,8,5,0.806036495,0.783753953
V,05-06,9,5,1.394465828,1.619813959
V,05-06,10,5,1.08124482,1.222247842
W,05-06,1,5,2.488235168,2.442632177
W,05-06,2,5,2.217556295,2.243272563
W,05-06,3,5,5.005589985,4.923966242
W,05-06,4,5,3.733700289,1.98302123
W,05-06,5,5,1.447362271,1.297298184
W,05-06,6,5,1.155800862,1.558073887
W,05-06,7,5,2.376956589,2.831437478
W,05-06,8,5,2.472484325,2.637685201
W,05-06,9,5,1.292135112,1.299133137
W,05-06,10,5,0.643859022,0.577029914
X,05-06,1,5,3.127844995,3.235141206
X,05-06,2,5,4.646192795,4.173425951
X,05-06,3,5,0.355785394,0.372374277
X,05-06,4,5,3.456742995,3.871957836
X,05-06,5,5,2.468370023,2.379205072
X,05-06,6,5,2.614790912,2.535433319
X,05-06,7,5,1.566106991,1.61580371
X,05-06,8,5,1.027128816,1.169070227
X,05-06,9,5,3.512544018,3.240209272
X,05-06,10,5,1.603812561,1.70789086
Y,05-06,1,5,4.94004416,6.394760468
Y,05-06,2,5,0.335130956,0.4823183
Y,05-06,3,5,0.735719852,0.816356897
Y,05-06,4,5,0.884724933,0.840745997
Y,05-06,5,5,3.850590127,3.002937092
Y,05-06,6,5,2.29862822,2.169692891
Y,05-06,7,5,0.753236737,0.689688245
Y,05-06,8,5,2.454229024,2.455605313
Y,05-06,9,5,4.607109178,4.621842463
Y,05-06,10,5,0.796968953,0.878788198
A,06-07,1,1,2.866576573,2.515704998
A,06-07,2,1,2.56907654,2.408711158
A,06-07,3,1,1.888323622,1.877015459
A,06-07,4,1,4.948749723,4.136853764
A,06-07,5,1,2.62039818,2.730501464
A,06-07,6,1,2.127049108,1.417865509
A,06-07,7,1,1.668127246,1.888708559
A,06-07,8,1,3.577607647,3.723795631
A,06-07,9,1,0.770658568,0.830734069
A,06-07,10,1,1.067052431,1.225970863
AA,06-07,1,6,2.657925457,0.356729075
AA,06-07,2,6,0.702024371,0
AA,06-07,3,6,2.678518513,2.361409626
AA,06-07,4,6,0.666211743,0.743362264
AA,06-07,5,6,1.459068957,1.506819735
AA,06-07,6,6,0.976783624,1.203864684
AA,06-07,7,6,2.098503848,2.423586657
AA,06-07,8,6,1.979986521,2.177357293
AA,06-07,9,6,1.135290925,1.308053763
AA,06-07,10,6,2.800210884,3.101486768
B,06-07,1,1,1.579383077,1.680477782
B,06-07,2,1,2.825669412,3.091232544
B,06-07,3,1,4.308097795,4.093984549
B,06-07,4,1,2.035768602,1.874297445
B,06-07,5,1,1.655477909,1.556831274
B,06-07,6,1,3.023676511,3.218517494
B,06-07,7,1,2.437814147,2.627077044
B,06-07,8,1,2.723976734,2.629405858
B,06-07,9,1,3.603450186,3.494219696
B,06-07,10,1,2.559848478,2.258659324
BB,06-07,1,6,0.906801206,1.211697265
BB,06-07,2,6,2.371323842,2.200822808
BB,06-07,3,6,1.038813444,1.074023916
BB,06-07,4,6,2.840608625,2.374163989
BB,06-07,5,6,2.038715451,2.025012778
BB,06-07,6,6,2.478226152,2.202861904
BB,06-07,7,6,2.015244822,0.333672174
BB,06-07,8,6,1.511666039,1.381369192
BB,06-07,9,6,1.898164936,2.029828588
BB,06-07,10,6,1.692853036,1.532691298
C,06-07,1,1,1.984110807,1.948812084
C,06-07,2,1,2.600500171,2.12294416
C,06-07,3,1,1.629395608,1.42602821
C,06-07,4,1,2.911763746,2.722489525
C,06-07,5,1,1.864249576,1.425901739
C,06-07,6,1,1.465395609,1.435181179
C,06-07,7,1,1.879632687,2.033369706
C,06-07,8,1,1.270435641,1.458938491
C,06-07,9,1,3.067340248,3.416167419
C,06-07,10,1,3.239073742,3.340685733
CC,06-07,1,6,2.689515599,2.062153475
CC,06-07,2,6,0.755250124,0
CC,06-07,3,6,0.91843245,0.760975256
CC,06-07,4,6,4.912812583,4.028737397
CC,06-07,5,6,0.124236534,0.24397726
CC,06-07,6,6,2.67054883,2.78325723
